	sadness	anger	fear	anxiety	despair	joy	gratitude	surprise	neutral
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2	0.0	0.0	0.0	0.0	0.0	0.25	0.75	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75
5	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.75
6	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25
7	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75
8	0.0	0.0	0.0	0.0	0.0	0.5	0.25	0.0	0.25
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.25
11	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
13	0.0	0.0	0.0	0.0	0.0	0.75	0.25	0.0	0.0
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
16	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.75
17	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.25	0.0
18	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5
20	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
25	0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0
26	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0
27	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
29	0.0	0.0	0.5	0.25	0.0	0.0	0.0	0.0	0.0
30	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75
31	0.5	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0
32	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.5
33	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25
34	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0
